month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2025-03-01;103;"skysportaustria.at - Sky Österreich";service;OK;530254;7.349;600044;1712267;5144727;96.29;185;03:05;3.00
2025-03-01;88;"ligaportal.at";service;OK;730958;10.131;844359;7629555;60163585;97.38;492;08:12;7.89
2025-03-01;84;"kleinezeitung.at";service;OK;3002445;41.614;4801786;26336589;126169200;95.23;272;04:32;4.79
2025-03-01;83;"diepresse.com";service;OK;1880167;26.059;2581474;10522806;30208453;90.68;254;04:14;2.87
2025-04-01;1;"austria.com/plus";adnetwork;OK;4346309;60.24;9183365;55839534;206886045;93.24;231;03:51;3.71
2025-04-01;177;"bvz.at";service;OK;212212;2.941;302160;653187;2975780;95.10;141;02:21;4.56
2025-04-01;146;"tvheute.at - das TV-Magazin";service;OK;544159;7.542;811993;3940539;14217092;90.93;167;02:47;3.61
2025-04-01;126;"tt.com";service;OK;1276209;17.688;1908215;7645450;20436588;89.68;195;03:15;2.67
2025-04-01;123;"regionaljobs.at";service;OK;84764;1.175;107040;147096;495265;86.19;177;02:57;3.37
2025-04-01;122;"tips.at";service;OK;1156082;16.023;1321632;3436228;5990984;93.60;165;02:45;1.74
2025-04-01;81;"sn.at - Salzburger Nachrichten";service;OK;1182331;16.387;1881288;4995595;16915478;89.40;187;03:07;3.39
2025-04-01;80;"salzburg24.at";service;OK;898889;12.459;1083046;5387747;23242678;94.35;200;03:20;4.31
2025-04-01;64;"nachrichten.at - Nachrichten.at";service;OK;1794167;24.867;2199157;9573376;32301989;94.81;218;03:38;3.37
2025-04-01;54;"noen.at - NÖN";service;OK;1333473;18.482;1568702;5766288;29065430;96.41;161;02:41;5.04
2025-04-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1368240;18.964;1900051;13782280;38903621;92.93;291;04:51;2.82
2025-04-01;3;"vienna.at - VIENNA ONLINE";service;OK;486395;6.741;575675;1220198;2632124;91.03;137;02:17;2.16
2025-04-01;2;"Goldbach Audience";adnetwork;OK;3599226;49.885;5963410;35835463;116611821;95.20;242;04:02;3.25
2025-04-01;1601;"5min.at";service;OK;1535878;21.287;2358247;7271985;11551795;96.64;169;02:49;1.59
2025-04-01;1395;"motorrad-magazin.at";service;OK;9214;0.128;56975;75032;97676;21.67;67;01:07;1.30
2025-04-01;391;"yesss.at";service;OK;90684;1.257;75923;166049;477022;93.54;252;04:12;2.87
2025-04-01;376;"world.a1.net";service;OK;135055;1.872;230421;1779872;3407553;97.52;492;08:12;1.91
2025-04-01;349;"mail.a1.net";service;OK;189121;2.621;191364;1510579;8401110;95.59;219;03:39;5.56
2025-04-01;40;"kronehit.at";service;OK;152977;2.12;214698;537317;1210944;84.25;211;03:31;2.25
2025-04-01;34;"heute.at";service;OK;3162541;43.833;4317562;26265795;91465724;95.23;242;04:02;3.48
2025-04-01;4;"COPE";adnetwork;OK;5259732;72.9;12396442;133034705;1551995988;93.34;478;07:58;11.67
2025-04-01;601;"styleupyourlife.at";service;OK;113794;1.577;114076;140173;290245;81.31;128;02:08;2.07
2025-04-01;188;"tele.at";service;OK;265971;3.686;338076;2160857;8457916;95.44;173;02:53;3.91
2025-04-01;184;"arboe.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2025-04-01;148;"willhaben.at";service;OK;4089617;56.682;6967016;89636396;1314493389;92.97;544;09:04;14.66
2025-04-01;103;"skysportaustria.at - Sky Österreich";service;OK;600133;8.318;700981;2255162;6343882;96.38;190;03:10;2.81
2025-04-01;88;"ligaportal.at";service;OK;898585;12.454;1019344;10822049;87443282;97.17;520;08:40;8.08
2025-04-01;84;"kleinezeitung.at";service;OK;2294471;31.801;3527817;20687308;106449693;95.03;284;04:44;5.15
2025-04-01;83;"diepresse.com";service;OK;1733027;24.02;2370395;9766875;27494515;89.55;250;04:10;2.82
2025-05-01;1;"austria.com/plus";adnetwork;OK;4518934;62.632;10272751;60324431;213388924;92.35;234;03:54;3.54
2025-05-01;177;"bvz.at";service;OK;235996;3.271;317212;697414;3501624;94.71;147;02:27;5.02
2025-05-01;146;"tvheute.at - das TV-Magazin";service;OK;655510;9.085;851560;4242913;15846432;91.60;167;02:47;3.73
2025-05-01;126;"tt.com";service;OK;1421449;19.701;2098145;8317726;22482552;88.73;198;03:18;2.70
2025-05-01;123;"regionaljobs.at";service;OK;67628;0.937;111248;152719;510345;88.52;173;02:53;3.34
2025-05-01;122;"tips.at";service;OK;1237160;17.147;1384715;3333367;4984967;93.39;169;02:49;1.50
2025-05-01;81;"sn.at - Salzburger Nachrichten";service;OK;1188045;16.466;1807685;4647828;17165674;88.67;196;03:16;3.69
2025-05-01;80;"salzburg24.at";service;OK;1052646;14.59;1274733;5714754;20637085;93.70;190;03:10;3.61
2025-05-01;64;"nachrichten.at - Nachrichten.at";service;OK;1896520;26.286;2509756;10393833;30677068;93.99;215;03:35;2.95
2025-05-01;54;"noen.at - NÖN";service;OK;1314777;18.223;1634422;5611608;29480993;96.00;163;02:43;5.25
2025-05-01;4;"vol.at - VORARLBERG ONLINE";service;OK;1723520;23.888;2340005;15926514;44822078;92.26;294;04:54;2.81
2025-05-01;3;"vienna.at - VIENNA ONLINE";service;OK;565706;7.841;651835;1318558;2751277;90.79;134;02:14;2.09
2025-05-01;2;"Goldbach Audience";adnetwork;OK;3875578;53.716;6575945;36910785;119960117;94.81;250;04:10;3.25
2025-05-01;1601;"5min.at";service;OK;1772692;24.57;2557279;7854311;12701960;97.05;189;03:09;1.62
2025-05-01;1395;"motorrad-magazin.at";service;OK;9374;0.13;67417;85744;109803;24.43;69;01:09;1.28
2025-05-01;391;"yesss.at";service;OK;90355;1.252;78659;175520;513361;93.67;262;04:22;2.92
2025-05-01;376;"world.a1.net";service;OK;211642;2.933;248629;1881406;3610942;97.25;495;08:15;1.92
2025-05-01;349;"mail.a1.net";service;OK;193335;2.68;179820;1468677;8746174;94.59;220;03:40;5.96
2025-05-01;40;"kronehit.at";service;OK;243580;3.376;269044;605120;1857019;89.50;204;03:24;3.07
2025-05-01;34;"heute.at";service;OK;3330642;46.163;4724298;26631379;92420849;94.75;249;04:09;3.47
2025-05-01;4;"COPE";adnetwork;OK;5440901;75.411;12909884;136344905;1599171618;93.39;481;08:01;11.73
2025-05-01;601;"styleupyourlife.at";service;OK;98027;1.359;157421;194120;434500;81.55;142;02:22;2.24
