month;id;name;type;data_status;unique_users;net_reach;unique_clients;visits;impressions;impressions_at_percent;usetime_seconds;usetime_formatted;impressions_per_visits
2021-11-01;102;"fredl-chatbot.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2021-11-01;103;"skysportaustria.at - Sky Österreich";service;OK;259675;3.83;414052;889403;1184500;82.31;139;02:19;1.33
2021-11-01;104;"skysportaward.at";service;OK;0;0;0;0;0;0.00;0;00:00;0.00
2021-11-01;105;"solidbau.at - SOLID - Wirtschaft und Technik am Bau";service;OK;5239;0.077;8225;13951;27024;78.17;173;02:53;1.94
2021-11-01;107;"laola1.at";service;OK;782795;11.546;1149746;5352719;13409385;91.77;254;04:14;2.51
2021-11-01;110;"springermedizin.at - Springer Medizin";service;OK;8507;0.125;11446;12900;23381;36.07;104;01:44;1.81
2021-11-01;112;"atv.at";service;OK;261600;3.858;299889;663995;2848637;91.33;1131;18:51;4.29
2021-11-01;113;"prosieben.at - ProSieben.at";service;OK;207113;3.055;261256;489369;1694502;99.53;415;06:55;3.46
2021-11-01;114;"puls4.com";service;OK;161813;2.387;219071;388841;1315954;90.48;202;03:22;3.38
2021-11-01;115;"sat1.at";service;OK;161880;2.388;194118;415072;1536866;99.63;656;10:56;3.70
2021-11-01;116;"sixx.at";service;OK;35371;0.522;46271;72789;252155;99.25;273;04:33;3.46
2021-11-01;117;"songtexte.com";service;OK;248218;3.661;301170;446903;727797;99.61;197;03:17;1.63
2021-11-01;118;"wetter.com";service;OK;500267;7.379;584544;2242629;4445737;93.49;170;02:50;1.98
2021-11-01;122;"tips.at";service;OK;501752;7.4;708693;1329634;2231920;79.40;196;03:16;1.68
2021-11-01;123;"regionaljobs.at";service;OK;47652;0.703;132992;441596;696106;26.72;152;02:32;1.58
2021-11-01;126;"tt.com";service;OK;1330851;19.629;2605158;12509840;35660294;88.39;258;04:18;2.85
2021-11-01;128;"k.at";service;OK;124631;1.838;348764;487795;628223;52.58;128;02:08;1.29
2021-11-01;129;"profil.at";service;OK;506116;7.465;753590;1133525;1803710;80.33;208;03:28;1.59
2021-11-01;131;"events.at";service;OK;115843;1.709;132692;169349;274367;87.47;155;02:35;1.62
2021-11-01;132;"film.at";service;OK;262456;3.871;664999;824987;1388743;46.48;106;01:46;1.68
2021-11-01;133;"futurezone.at - FUTUREZONE.at";service;OK;544971;8.038;1318537;2339730;3458979;63.02;177;02:57;1.48
2021-11-01;134;"kurier.at - KURIER.at";service;OK;3236775;47.74;7705166;32525515;62499480;88.12;206;03:26;1.92
2021-11-01;135;"motor.at";service;OK;98832;1.458;188478;243888;426584;62.05;116;01:56;1.75
2021-11-01;137;"usp.gv.at - Unternehmensservice Portal";service;OK;0;0;0;94;150;98.67;0;00:00;1.60
